time,aoi,measurement,indicatorValue,referenceTime,dataProvider,eoSensor,colorCode,inputData
"2018-07-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","7.602525253","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2018-08-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","7.719444444","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2018-09-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","8.63030303","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2018-10-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","6.8944444439999995","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2018-11-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","6.5","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2018-12-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","5.433333332999999","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2019-01-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","6.7361111110000005","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2019-02-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","7.494444444","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2019-03-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","7.990909091","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2019-04-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","6.296428571","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2019-05-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","2.866666667","Low","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","RED","/"
"2019-06-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","7.728968254","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2019-07-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","10.07070707","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2019-08-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","9.976587302","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2019-09-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","13.7","High","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","GREEN","/"
"2019-10-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","3.1","Low","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","RED","/"
"2019-11-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","10.5","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2019-12-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","7.705952381","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2020-01-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","7.396464646","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2020-02-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","4.595238095","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2020-03-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","4.166666667","Normal","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","BLUE","/"
"2020-04-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","0.994047619","Low","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","RED","/"
"2020-05-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","0.958333333","Low","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","RED","/"
"2020-06-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","3.416269841","Low","2019-01-01T00:00:00.000Z","NTNU-USF-UTFPR","Sentinel 2","RED","/"
"2020-07-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","3.142171717","Low","2019-01-01T00:00:00.000Z","NTNU_USF_UTFPR","Sentinel 2","RED","/"
"2020-08-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","3.9511904760000003","Normal","2019-01-01T00:00:00.000Z","NTNU_USF_UTFPR","Sentinel 2","BLUE","/"
"2020-09-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","3.547222222","Low","2019-01-01T00:00:00.000Z","NTNU_USF_UTFPR","Sentinel 2","RED","/"
"2020-10-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","2.9166666666666665","Low","2018-05-01T00:00:00.000Z","NTNU_USF_UTFPR","Sentinel 2","RED","/"
"2020-11-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","2.2388888888888885","Low","2018-05-01T00:00:00.000Z","NTNU_USF_UTFPR","Sentinel 2","RED","/"
"2020-12-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","0","Low","2018-05-01T00:00:00.000Z","NTNU_USF_UTFPR","Sentinel 2","RED","/"
"2021-01-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","1.8166666669999998","Low","2018-05-01T00:00:00.000Z","NTNU_USF_UTFPR","Sentinel 2","RED","/"
"2021-02-01T00:00:00.000Z","LatLng(45.629959, 8.723056)","1.8333333333333333","Low","2018-05-01T00:00:00.000Z","NTNU_USF_UTFPR","Sentinel 2","RED","/"
